OrderID,CustomerID,Gender,Age,State,CustomerType,OrderDate,PickupDate,DeliveryDate,ServiceName,QuantityOfClothes,WeightKg,LoadType,DeliveryType,Revenue,PaymentDate,PaymentAmount,PaymentMethod,LabourCost,ElectricityCost,WaterCost,DetergentCost,ChemicalCost,PackagingCost,FuelCost,MaintenanceCost,DiscountGiven,Tax,OtherCost,TotalExpense,NetProfit,PaymentStatus
1,89,Female,35,Texas,Student,1/18/2022,1/19/2022,1/23/2022,Mending,3,1.71,Mixed,Customer Pickup,3560.23,1/18/2022,3560.23,Online Payment,783.25,142.41,0,0,0,20,0,106.81,0,267.02,71.2,1390.69,2169.54,Paid
2,59,Male,34,New York,Student,12/11/2021,12/12/2021,12/16/2021,Ironing,23,7.16,Light,Customer Pickup,1735.82,12/16/2021,1735.82,Online Payment,312.45,86.79,0,0,0,50,0,52.07,0,130.19,34.72,666.22,1069.6,Paid
3,30,Male,31,Texas,Student,9/10/2021,9/11/2021,9/15/2021,Stain Removal,9,9.03,Heavy,Home Delivery,9772.47,9/15/2021,9772.47,Cash,2540.84,488.62,293.17,195.45,390.9,20,390.9,293.17,0,732.94,195.45,5541.44,4231.03,Paid
4,71,Male,39,Iowa,Regular,1/4/2022,1/5/2022,1/9/2022,Ironing,14,8.15,Mixed,Express,12557.33,1/4/2022,12557.33,Credit Card,2762.61,627.87,0,0,0,35,753.44,376.72,0,941.8,251.15,5748.59,6808.74,Paid
5,63,Female,55,Maryland,Student,8/30/2022,8/31/2022,9/4/2022,Dry Cleaning,7,4.25,Mixed,Customer Pickup,10891.14,9/4/2022,10891.14,Cash,2396.05,435.65,0,0,653.47,20,0,326.73,0,816.84,217.82,4866.56,6024.58,Paid
6,3,Male,39,Arizona,Student,7/18/2025,7/19/2025,7/23/2025,Laundry,17,10.83,Mixed,Home Delivery,5133.69,7/23/2025,5133.69,Online Payment,1129.41,308.02,205.35,256.68,0,35,205.35,154.01,0,385.03,102.67,2781.52,2352.17,Paid
7,25,Male,44,Tennessee,Student,6/23/2022,6/24/2022,6/28/2022,Laundry,13,7.35,Mixed,Home Delivery,7434.83,6/28/2022,7434.83,Cash,1635.66,371.74,297.39,371.74,0,35,297.39,223.04,0,557.61,148.7,3938.27,3496.56,Paid
8,16,Male,36,California,Student,9/27/2021,9/28/2021,10/2/2021,Dry Cleaning,20,5.88,Light,Express,7971.13,10/2/2021,7971.13,Online Payment,1434.8,398.56,0,0,478.27,35,478.27,239.13,0,597.83,159.42,3821.28,4149.85,Paid
9,4,Male,26,Washington,Regular,6/10/2022,6/11/2022,6/15/2022,Laundry,19,6.43,Light,Customer Pickup,6880.62,6/10/2022,6880.62,Online Payment,1238.51,344.03,275.22,344.03,0,35,0,206.42,0,516.05,137.61,3096.87,3783.75,Paid
10,71,Male,39,Iowa,Regular,12/30/2023,12/31/2023,1/4/2024,Laundry,27,13.92,Mixed,Customer Pickup,2310.46,1/4/2024,2310.46,Cash,508.3,138.63,92.42,115.52,0,50,0,69.31,0,173.28,46.21,1193.67,1116.79,Paid
